"rel_year","COMB_R_tot","H_R_tot","H_R_LGR","H_Det","H_Exclu","H_Det_LGR","H_Det_MCN","W_R_tot","W_R_LGR","W_Det","W_Exclu","W_Det_LGR","W_Det_MCN"
1996,84484,48998,0,17331,1461,7468,2780,35486,13550,13356,1147,1869,2493
1997,168337,147674,0,53110,20029,5817,5120,20663,0,6785,821,3105,1521
1998,190992,118154,0,65693,29427,10074,8468,72838,8377,25580,2282,6403,7402
1999,215450,128262,0,67927,22466,5549,15297,87188,11179,34990,2772,7395,10140
2000,203391,98212,0,41205,20191,9315,5665,105179,42106,54113,17676,9997,14092
2001,191640,114333,0,69720,31147,29548,14687,77307,0,20683,2766,11663,7196
2002,253782,130940,0,56989,15661,7772,14421,122842,18015,44126,21529,4214,9387
2003,294609,152834,0,58442,23321,11291,14125,141775,26749,56380,25367,8193,14544
2004,273304,152821,0,70415,35285,24508,8630,120483,9119,38160,13998,11912,7370
2005,259684,149285,0,68742,34939,21812,10480,110399,6719,34283,14179,7854,6894
2006,235365,123309,0,49178,23466,7219,7170,112056,9818,35477,9884,5460,9067
2007,247407,132110,0,51756,14165,7231,15982,115297,14445,38242,7212,7835,12081
2008,256299,151607,0,59664,26894,8921,7585,104692,9348,34986,7715,8231,9187
2009,295175,149803,0,57697,17768,12886,19550,145372,13663,42760,8465,8512,15322
2010,340123,166475,0,48642,13275,4902,15762,173648,16991,50580,8990,11285,15724
2011,334844,171035,0,67637,22588,12098,8810,163809,15916,51619,6287,13595,11062
2012,325182,178365,0,67130,14431,16620,13965,146817,16614,42767,5312,8879,9613
2013,309528,168240,0,60409,19223,8769,14332,141288,11710,36816,6491,8281,10071
2014,296970,166138,0,74877,25656,17016,15189,130832,17858,42318,6372,10020,9600
2015,273943,161521,0,41752,10811,4716,10352,112422,5336,20580,2369,7116,5618
2016,302923,164507,0,79789,25245,23427,16923,138416,22062,45811,4382,12043,10496
2017,302367,165446,0,58725,16971,12730,6151,136921,14203,36822,5314,8848,4836
2018,269597,170522,0,61946,30486,10942,5299,99075,11755,31576,8762,6220,3284
2019,260693,170066,0,46534,20598,7049,3582,90627,6320,19820,4188,6520,2141
2020,234446,171368,0,46829,10279,21327,3305,63078,0,14749,1541,9551,1539
2021,251918,167767,0,46906,1653,35815,3832,84151,1767,17552,2970,11386,1075
2022,288942,199838,0,49881,12873,25548,1362,89104,6259,22711,8278,8671,664
2023,273442,182912,0,57232,17065,23377,2568,90530,6763,16754,5192,5722,1127
2024,295481,207799,0,35325,1940,20515,3546,87682,5683,12533,2177,5966,1484
2025,265773,192065,0,29016,2131,16797,2781,73708,7172,6048,1430,2432,617
