"rel_year","COMB_R_tot","H_R_tot","H_R_LGR","H_Det","H_Exclu","H_Det_LGR","H_Det_MCN","W_R_tot","W_R_LGR","W_Det","W_Exclu","W_Det_LGR","W_Det_MCN"
1996,4067,3977,0,589,36,345,22,90,0,35,1,17,7
1997,12024,11957,0,850,105,395,90,67,0,28,2,11,6
1998,11498,11107,1,3048,339,1471,220,391,1,192,24,55,30
1999,6576,6096,0,1274,63,465,347,480,1,183,15,44,28
2000,1279,750,0,156,9,49,45,529,0,115,9,39,29
2001,3264,3053,0,694,41,560,35,211,0,45,1,30,4
2002,11525,10376,0,1884,75,598,342,1149,0,279,7,88,48
2003,7904,6961,0,830,445,140,87,943,0,294,7,108,74
2004,6160,5257,0,1318,1250,29,17,903,0,314,294,4,7
2005,8039,6667,0,1674,893,180,125,1372,0,510,390,51,34
2006,6468,5583,0,1225,36,376,193,885,0,346,6,67,54
2007,7219,6296,0,1480,48,421,221,923,0,222,3,118,53
2008,6910,5965,0,1440,18,324,174,945,0,289,3,51,55
2009,67999,67302,0,20173,10349,2683,2053,697,0,152,2,46,30
2010,66455,65478,0,5125,61,1559,1232,977,0,172,2,69,37
2011,68147,66452,0,29922,8396,7546,2721,1695,0,392,4,151,52
2012,67344,65526,0,25401,14039,3769,2366,1818,1,653,14,280,125
2013,54964,53108,0,18770,9819,4891,1163,1856,0,327,3,178,50
2014,54469,52774,0,13360,5829,1368,1854,1695,0,587,10,287,68
2015,103455,101089,0,11993,4341,787,1649,2366,0,499,10,234,67
2016,57186,52886,0,5538,2835,928,846,4300,0,1408,13,795,252
2017,51288,49937,0,3130,1649,349,239,1351,0,257,3,106,41
2018,52520,50890,0,18310,10009,3102,449,1630,0,413,24,190,34
2019,62371,59263,0,12193,3403,1290,1090,3108,0,929,14,450,77
2020,50573,49666,0,13830,1041,10479,424,907,0,190,3,106,9
2021,51720,51310,0,22479,219,19743,445,410,0,24,0,23,0
2022,49986,49830,0,15186,2321,11151,392,156,0,35,0,23,2
2023,50002,49847,0,17553,2176,12054,788,155,0,17,0,15,0
2024,55296,55182,0,11350,229,8911,212,114,0,5,0,4,0
2025,58642,58540,1,12384,922,10277,731,102,0,2,0,1,0
