"rel_year","COMB_R_tot","H_R_tot","H_R_LGR","H_Det","H_Exclu","H_Det_LGR","H_Det_MCN","W_R_tot","W_R_LGR","W_Det","W_Exclu","W_Det_LGR","W_Det_MCN"
1996,31521,19608,0,7065,853,3970,946,11913,2,5105,515,2741,664
1997,29783,18940,0,11991,1157,5861,1044,10843,0,4250,485,2413,469
1998,43295,15564,0,9655,1075,4958,944,27731,6184,12850,1442,3496,1640
1999,62650,20678,0,12319,1147,3992,1529,41972,7902,19087,1768,5529,3014
2000,123414,19692,0,11820,2100,7062,975,103722,47036,60742,24165,9693,6848
2001,73973,16261,0,9676,421,8289,955,57712,397,17533,4765,8334,2456
2002,100236,13817,0,7679,195,2161,1078,86419,22791,42760,23403,3721,4201
2003,86109,9864,0,6192,618,1902,640,76245,16463,37817,19050,5118,3845
2004,86128,29035,0,16820,911,11064,1132,57093,7777,24000,7691,6647,1752
2005,86522,21366,0,11251,1915,5641,1393,65156,5017,25860,7899,7779,3333
2006,99354,25075,0,13245,3416,1785,2173,74279,13332,26482,8695,1909,3494
2007,95998,21417,0,8408,946,1235,1057,74581,10616,23480,7633,3538,3358
2008,189261,107981,0,58846,20947,8457,5872,81280,14866,30313,6930,5281,4097
2009,170631,98614,0,70523,18071,26605,10299,72017,14978,30078,7293,3975,5310
2010,206394,119675,0,62512,21409,5815,7446,86719,12754,28624,6861,4727,3689
2011,185511,103479,0,62601,16273,17130,6459,82032,17594,33120,4594,6047,3626
2012,183412,92913,0,49153,13910,12442,3835,90499,19788,31346,6578,3934,3377
2013,214036,116784,0,47412,16921,7472,4987,97252,7359,24148,8449,3918,2538
2014,182062,95584,0,48290,18863,10093,3977,86478,14352,26856,7063,3846,2804
2015,162888,87275,0,28848,5493,3976,3861,75613,10750,15327,3494,2899,2245
2016,180653,84576,0,42411,11142,12379,6087,96077,14698,23609,4644,4341,3845
2017,168621,75200,0,35158,6487,9157,2307,93421,18127,25925,6590,3364,1686
2018,167562,84018,0,43217,15531,8853,1365,83544,15151,27266,8540,4369,1067
2019,159810,90597,0,42284,14844,11722,2547,69213,14549,20137,5078,3811,976
2020,101854,70845,0,31970,3373,21563,753,31009,0,8692,1360,5546,241
2021,129641,82322,0,38591,1051,31054,1159,47319,4836,14354,3835,8125,322
2022,116264,59421,0,24358,5368,15982,437,56843,9277,17194,7646,5085,276
2023,135954,87614,0,41115,13153,20217,613,48340,13624,16461,7315,2698,226
2024,118659,71312,0,21759,1270,13488,601,47347,5973,10351,4282,4282,211
2025,113063,68699,0,26428,2026,21183,491,44364,7653,7716,3844,2338,147
